Account Name,Account Number ,Mapping,Item,Statement
250102 11300-AR Adjust - Accrued Rev,250102,250102 11300-AR Adjust - Accrued Rev,B.S,Current Liabilites
310101 30100-Capital Stock,310101,310101 30100-Capital Stock,B.S,Owners Equity
310301 32000-Retained Earnings,310301,310301 32000-Retained Earnings,B.S,Owners Equity
410201 Equipment Sales,410201,Equipment Sales,P&L,Revenue
710605 68080-WA B&O Tax,710605,Corporate Tax,P&L,Taxes
520201 LXT Inter-company COPS,520201,LXT Inter-company COPS,P&L,Inter-company COPS
520201 LXT Inter-company COPS,520201,LXT Inter-company COPS,P&L,Inter-company COPS
520201 LXT Inter-company COPS,520201,LXT Inter-company COPS,P&L,Inter-company COPS
641701 66700-Professional Fees,641701,Accounting & Audit Fees,P&L,Professional and Consultancy Fees
641701 66700-Professional Fees,641701,Accounting & Audit Fees,P&L,Professional and Consultancy Fees
710604 68070-NYS Franchise Tax,710604,NYS Franchise Tax,P&L,Taxes
610305 Employer National Insurance Expense,610305,EI-COMPANY,P&L,HR Cost-G&A Social Insurance
130908 GST Input Tax IGST (RCM),130908,Other Credit Balance,B.S,Current Liabilites
230409 LWF,230409,Other Credit Balance,B.S,Current Liabilites
240109 GST Output Tax IGST (RCM),240109,Other Credit Balance,B.S,Current Liabilites
510409 Labour Welfare Fund,510409,Labour Welfare Fund,P&L,HR Cost-COPS  Social insurance
230110 Accrued Payroll (deleted),230110,Other Credit Balance,B.S,Current Liabilites
240205 25850-Accrued NC franchise tax,240205,Other Credit Balance,B.S,Current Liabilites
510802 65500-Admin Support - Community,510802,Recruitment,P&L,HR Cost-COPS Recruitment
620101 60000-Marketing,620101,Advertising,P&L,Commercial
620306 60020-Confs & Trade Shows,620306,Sponsorships & Events,P&L,Commercial
640602 61700-Computer &  Internet Exp,640602,Computer & Internet Expenses,P&L,Communication Expenses
610509 63360-Worker's Compensation,610509,Allowances,P&L,HR Cost-G&A Benefits
710301 63400-Interest Expense,710301,Interest Expenses,P&L,Interest Expenses
640801 64300-Meals and Entertainment,640801,Meals & Entertainment,P&L,Cafeteria Cost
641203 64700-Miscellaneous Expense,641203,Miscellaneous Expense,P&L,Office Expenses
640702 66500-Postage and Delivery,640702,Shipping,P&L,Office Supplies
710602 68050-Delaware Corporation Tax,710602,Deferred Tax Exp,P&L,Taxes
640101 68400-Travel Expense,640101,Ground Travel,P&L,Business Travel & related Cost
710303 68700-Penalties Expense,710303,Penalty Expense,P&L,Interest Expenses
610307 WSIB Pay,610307,WSIB Pay,P&L,HR Cost-G&A Social Insurance
641901 Bad debt Provisions,641901,Bad Debt Exp,P&L,Bad Debt Provisions
250100 Deferred/Un-earned Revenue,250100,Deferred/Un-earned Revenue,B.S,Deferred/Un-earned Revenue
710703 Stock Compensation,710703,Stock Compensation,P&L,Stock Compensation
720102 Deferred Tax Benefit,720102,Deferred Tax Exp,P&L,Other Income
641606 Takafull Contribution (Medical 0.0025),641606,Takafull Contribution (Medical 0.0025),P&L,Fees and Subscription
110220 HDFC BANK  Account,110220,Cash&Cash Eq,B.S,Current Assets
110208 Stripe-Payments,110208,Cash&Cash Eq,B.S,Current Assets
110210 Airtm - Payment Service Provider,110210,Cash&Cash Eq,B.S,Current Assets
120101 Accounts Receivable,120101,Accounts Receivable,B.S,Current Assets
130601 Loans Receivable - Mohamed,130601,130601 24100-Shareholder Loan,B.S,Current Assets
130705 Other current assets,130705,Other Current Assets,B.S,Current Assets
130709 Suspensed - Assets,130709,Other Current Assets,B.S,Current Assets
130901 Deductible input tax 7%,130901,Other debit balance,B.S,Current Assets
130902 Deductible input tax 19%,130902,Other debit balance,B.S,Current Assets
130903 Dedctbl inpt tax sec 13b UStG 19%,130903,Other debit balance,B.S,Current Assets
130904 Input tax ded. following period/year,130904,Other debit balance,B.S,Current Assets
130905 Reclaimed corporate income tax,130905,Other debit balance,B.S,Current Assets
131309 Receivables affiliated companies,131309,Other debit balance,B.S,Current Assets
150501 Other fixed assets,150501,PP&E,B.S,Non Current Assets
150502 Accumulated Depreciation-Other fixed assets,150502,Accumulated Depreciation,B.S,Current Assets
150603 Other intangible assets,150603,PP&E,B.S,Non Current Assets
150604 Accumulated Depreciation - Other Intangible Assets,150604,Accumulated Depreciation,B.S,Current Assets
210101 Accounts Payable (A/P),210101,Accounts Payable ,B.S,Current Liabilites
"220201 MasterCard 7595, Rozsenich, Christian",220201,Other Credit Balance,B.S,Current Liabilites
250101 Down Payments,250101,Other Credit Balance,B.S,Current Liabilites
260101 Liabilities to affiliated companies,260101,Due to IC,B.S,Current Liabilites
270301 Long-term Loans,270301,Due to IC,B.S,Non Current Liabilites
270303 Suspended Liabilities,270303,Other Credit Balance,B.S,Current Liabilites
610509 Post-employment benefit costs,610509,Allowances,P&L,HR Cost-G&A Benefits
310001 Capital,310001,Capital,B.S,Owners Equity
410101 Revenue 19% VAT,410101,Audio,P&L,Revenue
410106 Other operating income,410106, Revenues,P&L,Revenue
410302 Volume Discount,410302, Discounts/Refunds Given,P&L,Revenue
420102 Suspended Revenue,420102, Revenues,P&L,Revenue
520101 Intercompany Clickworker Payments,520101,COPS Intercompany Charges,P&L,Direct Cost (Crowdsourcing)
520102 Agency costs,520102,Cost of Services - Text,P&L,Direct Cost (Crowdsourcing)
520103 Purchased services,520103,Cost of Services - Image,P&L,Direct Cost (Crowdsourcing)
520104 Clickworker incl VAT,520104,Cost of Services - Video,P&L,Direct Cost (Crowdsourcing)
530101 Other services EU 19% input tax/VAT,530101,Other Direct Cost - COPS Consulting,P&L,Other Cost Cost of Service 
530104 Serv.suppl foreign contr.19% i.t./VAT,530104,Other COPS,P&L,Other Cost Cost of Service 
610202 Holiday,610202,Local Contractors  (Sub-Contractors ),P&L,HR Cost-G&A Temporary Employees
610309 Contrb. to occup. health/safety agency,610309,CPP & EI (2022) Employee Portion,P&L,HR Cost-G&A Social Insurance
610501 Vol. social benfts not subj to wage tx,610501,Benefits,P&L,HR Cost-G&A Benefits
610802 clickworker recruitment,610802,Recruitment,P&L,HR Cost-G&A Recruitment
610901 Training costs,610901,Training,P&L,HR Cost-G&A Staff Training
620101 Advertising expenses,620101,Advertising,P&L,Commercial
620306 Exhibition costs,620306,Sponsorships & Events,P&L,Commercial
640101 Employee mileage reimbursement,640101,Ground Travel,P&L,Business Travel & related Cost
"640102 Employee travel expnses, cost of travel",640102,Air Travel,P&L,Business Travel & related Cost
"640103 Employee trav. expn, accommodation costs",640103,Accommodations,P&L,Business Travel & related Cost
640104 Employee travel expenses,640104,Travel Expense,P&L,Business Travel & related Cost
640401 Rent (immovable property),640401,Rental,P&L,Rent
"640402 Gas, electricity, water",640402,Utilities,P&L,Rent
640601 Telephone,640601,Telephone Expense,P&L,Communication Expenses
640701 Hardware / software maintenance expenses,640701,Office Supplies,P&L,Office Supplies
640702 Postage,640702,Shipping,P&L,Office Supplies
640901 Cleaning,640901,Repairs & Maintenance,P&L,Repairs & Maintenance
641101 Insurance premiums,641101,Insurance Expense,P&L,Insurance
641205 Suspended G&A,641205,Other G&A,P&L,Office Expenses
"641601 Expensions for licences, concessions",641601,Dues & Subscriptions,P&L,Fees and Subscription
641603 Bookkeeping expenses,641603,Finance Processing fees,P&L,Fees and Subscription
641701 Period-end closing and audit costs,641701,Accounting & Audit Fees,P&L,Professional and Consultancy Fees
641705 Purchased services/ third-party services,641705,Consulting Firm,P&L,Professional and Consultancy Fees
710101 Depreciation Expense,710101,Depreciation Expense,P&L,Depreciation & Amortization
710201 Amortization,710201,Amortization,P&L,Depreciation & Amortization
710501 SR&ED tax credits,710501,Taxes,P&L,Taxes
710704 Immediate write-off of low-value assets,710704,Bad Debt,P&L,Bad Debt Exp
510501 Holiday,510501,Holiday,P&L,HR Cost-COPS Salaries & Wages OH
610201 Salaries Temporary Allow in Lieu of Benefit,610201,Temporary Employees,P&L,HR Cost-G&A Temporary Employees
410104 Video,410104,Video,P&L,Revenue
